ano;uf;rural_urbano;valor_rural;idade;raca;valor_brancos_amarelos;valor_pretos;valor_pardos_outros;anosest;educ1;educ2;educ3;educ4;cond_presenca;nao_morador;sexo;sexo_h;sexo_m;rendatrab;rendatrab_2;rendatrab_3;renda_out_trab_1;renda_out_trab_2;renda_out_trab_3;renda_out_ocup_1;renda_out_ocup_2;renda_out_ocup_3;rendatodostrab;renda_aposentadoria_pensao;renda_aposentadoria1;renda_aposentadoria2;renda_pensao1;renda_pensao2;renda_abono;renda_aluguel;renda_doacao;renda_juros_outros;renda_venda_imoveis;renda_outras;peso;horas_trabprinc;horas_trabsec;horas_trabout;horas_todostrab;ocup;setor;missing;deflator;pos_ocup;pos_empregador;pos_empregado;pos_contapropria;pea;pea_valores;cond_ocup;ocup_valores;desocup_valores;pos_dom;parente_threshold;domicilioid;carteira_assinada;valor_carteira;valor_estaturio_militar
1976;v0003;v1004;2;v2105;;;;;;v2224;v2225;v2226;v2227;v2104;3;v2103;1;2;v2955;;;;;;;;;v2956;v2365;;;;;;v2363;v2364;;;v2366;v2985;v2310;;;v2311;v2304;v2305;9999998;0,831445214;v2307;"6;7";"1;4";"2;3;5";v2301;"1;2;3;4";v2301;"1;2";"3;4";v2107;5;domicilioid;v2316;1;
1977;v0002;v0006;2;v0173;;;;;;v0035;v0036;v0037;v0038;v0017;3;v0016;1;2;v0127;;;;;;;;;v0128;;v0090;;v0091;;;v0093;v0092;v0095;v0094;v0096;v0187;v0098;;;v0099;v0067;v0068;999998;0,605199492;v0069;"4;7";"1;2";"3;5;6";v0066;"1;2;3;4";v0066;"1;2";"3;4";v0018;13;domicilioid;v0103;1;
1978;v0006;v1152;2;v2805;;;;;;v2213;v2214;v2215;v2216;v2204;3;v2203;1;2;v2426;v2446;v2447;v2427;v2457;v2458;v2428;v2468;v2469;;;v2479;;v2480;;;v2482;v2481;;;v2483;v2997;v2416;;;v2419;v2411;v2412;999998;0,419320338;v2413;3;1;2;v2408;"1;2;3;4";v2408;"1;2";"3;4";v2205;13;domicilioid;v2422;1;
1979;v0017;v1152;2;v2805;;;;;;v2213;v2214;v2215;v2216;v2204;3;v2203;1;2;v2515;;;;;;;;;v2516;v2360;;;;;;v2363;v2362;v2361;;v2364;v2999;v2312;;;v2314;v2304;v2305;999998;0,258809278;v2306;3;1;2;v2301;"1;2;3;4";v2301;"1;2";"3;4";v2205;8;domicilioid;v2317;1;
1981;v0010;v0003;"5;7";v0805;;;;;;v0312;v0314;v0315;v0317;;;v0303;1;3;v0600;;;;;;;;;v0601;;v0578;;v0579;;v0580;v0581;;;;v0582;v9991;v0508;;;v5100;v0503;v0504;9999999;0,067449607;v0505;"7;8";"1;2;3;4";"5;6";v0501;"1;2;3";v0501;"1;2";3;v0305;4;domicilioid;v0506;2;
1982;v0010;v0003;"5;7";v0805;;;;;;v0312;v0314;v0315;v0317;;;v0303;1;3;v0600;;;;;;;;;v0601;;v0578;;v0579;;v0580;v0581;;;;v0582;v9991;v0508;;;v5100;v0503;v0504;9999999;0,034472717;v0505;"7;8";"1;2;3;4";"5;6";v0501;"1;2;3";v0501;"1;2";3;v0305;4;domicilioid;v0506;2;
1983;v0010;v0003;"5;7";v0805;;;;;;v0312;v0314;v0315;v0317;;;v0303;1;3;v0600;;;;;;;;;v0601;;v0578;;v0579;;v0580;v0581;;;;v0582;v9991;v0508;;;v5100;v0503;v0504;9999999;0,013638355;v0505;"7;8";"1;2;3;4";"5;6";v0501;"1;2;3";v0501;"1;2";3;v0305;4;domicilioid;v0506;2;
1984;v0010;v0003;"5;7";v0805;;;;;;v0312;v0314;v0315;v0317;;;v0303;1;3;v0600;;;;;;;;;v0601;;v0578;;v0579;;v0580;v0581;;;;v0582;v9991;v0508;;;v5100;v0503;v0504;9999999;0,004678891;v0505;"7;8";"1;2;3;4";"5;6";v0501;"1;2;3";v0501;"1;2";3;v0305;4;domicilioid;v0506;2;
1985;v0010;v0003;"5;7";v0805;;;;;;v0312;v0314;v0315;v0317;;;v0303;1;3;v0600;;;;;;;;;v0601;;v0578;;v0579;;v0580;v0581;;;;v0582;v9991;v0508;;;v5100;v0503;v0504;999999999;0,001479446;v0505;"7;8";"1;2;3;4";"5;6";v0501;"1;2;3";v0501;"1;2";3;v0305;4;domicilioid;v0506;2;
1986;v0010;v0003;"5;7";v0805;;;;;;v0312;v0314;v0315;v0317;;;v0303;1;3;v0600;;;;;;;;;v0601;;v0578;;v0579;;v0580;v0581;;;;v0582;v9991;v0508;;;v5100;v0503;v0504;999999999;0,747203907;v0505;"7;8";"1;2;3;4";"5;6";v0501;"1;2;3";v0501;"1;2";3;v0305;4;domicilioid;v0506;2;
1987;v0010;v0003;"5;7";v0805;v0304;"2;8";4;"6;9";;v0312;v0314;v0315;v0317;;;v0303;1;3;v0600;;;;;;;;;v0601;;v0578;;v0579;;v0580;v0581;;;;v0582;v9991;v0508;;;v5100;v0503;v0504;999999999;0,186739709;v0505;"7;8";"1;2;3;4";"5;6";v0501;"1;2;3";v0501;"1;2";3;v0305;4;domicilioid;v0506;2;
1988;v0010;v0003;"5;7";v0805;v0304;"2;8";4;"6;9";;v0312;v0314;v0315;v0317;;;v0303;1;3;v0600;;;;;;;;;v0601;;v0578;;v0579;;v0580;v0581;;;;v0582;v9991;v0508;;;v5100;v0503;v0504;999999999;0,022940877;v0505;"7;8";"1;2;3;4";"5;6";v0501;"1;2;3";v0501;"1;2";3;v0305;4;domicilioid;v0506;2;
1989;v0010;v0003;"5;7";v0805;v0304;"2;8";4;"6;9";;v0312;v0314;v0315;v0317;;;v0303;1;3;v0600;;;;;;;;;v0601;;v0578;;v0579;;v0580;v0581;;;;v0582;v9991;v0508;;;v5100;v0503;v0504;999999999;1,668638415;v0505;"7;8";"1;2;3;4";"5;6";v0501;"1;2;3";v0501;"1;2";3;v0305;4;domicilioid;v0506;2;
1990;v0010;v0003;"5;7";v0805;v0304;"2;8";4;"6;9";;v0312;v0314;v0315;v0317;;;v0303;1;3;v0600;;;;;;;;;v0601;;v0578;;v0579;;v0580;v0581;;;;v0582;v3091;v0508;;;v5100;v0503;v0504;999999999;0,055767319;v0505;"7;8";"1;2;3;4";"5;6";v0501;"1;2;3";v0501;"1;2";3;v0305;4;domicilioid;v0506;2;
1992;uf;v4728;"4;5;6;7;8";v8005;v0404;"2;6";4;"8;0;9";v4703;;;;;;;v0302;2;4;v4718;;;;;;;;;v4719;;v1252;v1258;v1255;v1261;v1264;v1267;v1270;v1273;;;v4729;v9058;v9101;v9105;;v9906;v9907;999999999999;0,000902773;v4706;10;"1;2;3;4;5;6;7;8";9;v4704;1;v4705;1;2;v0401;4;domicilioid;v4706;"1;6";"2;3"
1993;uf;v4728;"4;5;6;7;8";v8005;v0404;"2;6";4;"8;0;9";v4703;;;;;;;v0302;2;4;v4718;;;;;;;;;v4719;;v1252;v1258;v1255;v1261;v1264;v1267;v1270;v1273;;;v4729;v9058;v9101;v9105;;v9906;v9907;999999999999;0,043651516;v4706;10;"1;2;3;4;5;6;7;8";9;v4704;1;v4705;1;2;v0401;4;domicilioid;v4706;"1;6";"2;3"
1995;uf;v4728;"4;5;6;7;8";v8005;v0404;"2;6";4;"8;0;9";v4703;;;;;;;v0302;2;4;v4718;;;;;;;;;v4719;;v1252;v1258;v1255;v1261;v1264;v1267;v1270;v1273;;;v4729;v9058;v9101;v9105;;v9906;v9907;999999999999;3,745884009;v4706;10;"1;2;3;4;5;6;7;8";9;v4704;1;v4705;1;2;v0401;4;domicilioid;v4706;"1;6";"2;3"
1996;uf;v4728;"4;5;6;7;8";v8005;v0404;"2;6";4;"8;0;9";v4703;;;;;;;v0302;2;4;v4718;;;;;;;;;v4719;;v1252;v1258;v1255;v1261;v1264;v1267;v1270;v1273;;;v4729;v9058;v9101;v9105;;v9906;v9907;999999999999;3,33244365;v4706;10;"1;2;3;4;5;6;7;8";9;v4704;1;v4705;1;2;v0401;4;domicilioid;v4706;"1;6";"2;3"
1997;uf;v4728;"4;5;6;7;8";v8005;v0404;"2;6";4;"8;0;9";v4703;;;;;;;v0302;2;4;v4718;;;;;;;;;v4719;;v1252;v1258;v1255;v1261;v1264;v1267;v1270;v1273;;;v4729;v9058;v9101;v9105;;v9906;v9907;999999999999;3,193956836;v4706;10;"1;2;3;4;5;6;7;8";9;v4704;1;v4705;1;2;v0401;4;domicilioid;v4706;"1;6";"2;3"
1998;uf;v4728;"4;5;6;7;8";v8005;v0404;"2;6";4;"8;0;9";v4703;;;;;;;v0302;2;4;v4718;;;;;;;;;v4719;;v1252;v1258;v1255;v1261;v1264;v1267;v1270;v1273;;;v4729;v9058;v9101;v9105;;v9906;v9907;999999999999;3,098786175;v4706;10;"1;2;3;4;5;6;7;8";9;v4704;1;v4705;1;2;v0401;4;domicilioid;v4706;"1;6";"2;3"
1999;uf;v4728;"4;5;6;7;8";v8005;v0404;"2;6";4;"8;0;9";v4703;;;;;;;v0302;2;4;v4718;;;;;;;;;v4719;;v1252;v1258;v1255;v1261;v1264;v1267;v1270;v1273;;;v4729;v9058;v9101;v9105;;v9906;v9907;999999999999;2,91142984;v4706;10;"1;2;3;4;5;6;7;8";9;v4704;1;v4705;1;2;v0401;4;domicilioid;v4706;"1;6";"2;3"
2001;uf;v4728;"4;5;6;7;8";v8005;v0404;"2;6";4;"8;0;9";v4703;;;;;;;v0302;2;4;v4768;;;;;;;;;v4769;;v1252;v1258;v1255;v1261;v1264;v1267;v1270;v1273;;;v4729;v9058;v9101;v9105;;v9906;v9907;999999999999;2,535535926;v4756;10;"1;2;3;4;5;6;7;8";9;v4754;1;v4755;1;2;v0401;4;domicilioid;v4756;"1;6";"2;3"
2002;uf;v4728;"4;5;6;7;8";v8005;v0404;"2;6";4;"8;0;9";v4703;;;;;;;v0302;2;4;v4718;;;;;;;;;v4719;;v1252;v1258;v1255;v1261;v1264;v1267;v1270;v1273;;;v4729;v9058;v9101;v9105;;v9906;v9907;999999999999;2,306677174;v4706;10;"1;2;3;4;5;6;7;8";9;v4704;1;v4705;1;2;v0401;4;domicilioid;v4706;"1;6";"2;3"
2003;uf;v4728;"4;5;6;7;8";v8005;v0404;"2;6";4;"8;0;9";v4703;;;;;;;v0302;2;4;v4718;;;;;;;;;v4719;;v1252;v1258;v1255;v1261;v1264;v1267;v1270;v1273;;;v4729;v9058;v9101;v9105;;v9906;v9907;999999999999;1,974411493;v4706;10;"1;2;3;4;5;6;7;8";9;v4704;1;v4705;1;2;v0401;4;domicilioid;v4706;"1;6";"2;3"
2004;uf;v4728;"4;5;6;7;8";v8005;v0404;"2;6";4;"8;0;9";v4703;;;;;;;v0302;2;4;v4718;;;;;;;;;v4719;;v1252;v1258;v1255;v1261;v1264;v1267;v1270;v1273;;;v4729;v9058;v9101;v9105;;v9906;v9907;999999999999;1,865502972;v4706;10;"1;2;3;4;5;6;7;8";9;v4704;1;v4705;1;2;v0401;4;domicilioid;v4706;"1;6";"2;3"
2005;uf;v4728;"4;5;6;7;8";v8005;v0404;"2;6";4;"8;0;9";v4703;;;;;;;v0302;2;4;v4718;;;;;;;;;v4719;;v1252;v1258;v1255;v1261;v1264;v1267;v1270;v1273;;;v4729;v9058;v9101;v9105;;v9906;v9907;999999999999;1,773149862;v4706;10;"1;2;3;4;5;6;7;8";9;v4704;1;v4705;1;2;v0401;4;domicilioid;v4706;"1;6";"2;3"
2006;uf;v4728;"4;5;6;7;8";v8005;v0404;"2;6";4;"8;0;9";v4703;;;;;;;v0302;2;4;v4718;;;;;;;;;v4719;;v1252;v1258;v1255;v1261;v1264;v1267;v1270;v1273;;;v4729;v9058;v9101;v9105;;v9906;v9907;999999999999;1,72506093;v4706;10;"1;2;3;4;5;6;7;8";9;v4704;1;v4705;1;2;v0401;4;domicilioid;v4706;"1;6";"2;3"
2007;uf;v4728;"4;5;6;7;8";v8005;v0404;"2;6";4;"8;0;9";v4803;;;;;;;v0302;2;4;v4718;;;;;;;;;v4719;;v1252;v1258;v1255;v1261;v1264;v1267;v1270;v1273;;;v4729;v9058;v9101;v9105;;v9906;v9907;999999999999;1,645296191;v4706;10;"1;2;3;4;5;6;7;8";9;v4704;1;v4805;1;2;v0401;4;domicilioid;v4706;"1;6";"2;3"
2008;uf;v4728;"4;5;6;7;8";v8005;v0404;"2;6";4;"8;0;9";v4803;;;;;;;v0302;2;4;v4718;;;;;;;;;v4719;;v1252;v1258;v1255;v1261;v1264;v1267;v1270;v1273;;;v4729;v9058;v9101;v9105;;v9906;v9907;999999999999;1,535511624;v4706;10;"1;2;3;4;5;6;7;8";9;v4704;1;v4805;1;2;v0401;4;domicilioid;v4706;"1;6";"2;3"
2009;uf;v4728;"4;5;6;7;8";v8005;v0404;"2;6";4;"8;0;9";v4803;;;;;;;v0302;2;4;v4718;;;;;;;;;v4719;;v1252;v1258;v1255;v1261;v1264;v1267;v1270;v1273;;;v4729;v9058;v9101;v9105;;v9906;v9907;999999999999;1,472052878;v4706;10;"1;2;3;4;5;6;7;8";9;v4704;1;v4805;1;2;v0401;4;domicilioid;v4706;"1;6";"2;3"
2011;uf;v4728;"4;5;6;7;8";v8005;v0404;"2;6";4;"8;0;9";v4803;;;;;;;v0302;2;4;v4718;;;;;;;;;v4719;;v1252;v1258;v1255;v1261;v1264;v1267;v1270;v1273;;;v4729;v9058;v9101;v9105;;v9906;v9907;999999999999;1,310045058;v4706;10;"1;2;3;4;5;6;7;8";9;v4704;1;v4805;1;2;v0401;4;domicilioid;v4706;"1;6";"2;3"
2012;uf;v4728;"4;5;6;7;8";v8005;v0404;"2;6";4;"8;0;9";v4803;;;;;;;v0302;2;4;v4718;;;;;;;;;v4719;;v1252;v1258;v1255;v1261;v1264;v1267;v1270;v1273;;;v4729;v9058;v9101;v9105;;v9906;v9907;999999999999;1,23845124;v4706;10;"1;2;3;4;5;6;7;8";9;v4704;1;v4805;1;2;v0401;4;domicilioid;v4706;"1;6";"2;3"
2013;uf;v4728;"4;5;6;7;8";v8005;v0404;"2;6";4;"8;0;9";v4803;;;;;;;v0302;2;4;v4718;;;;;;;;;v4719;;v1252;v1258;v1255;v1261;v1264;v1267;v1270;v1273;;;v4729;v9058;v9101;v9105;;v9906;v9907;999999999999;1,172372188;v4706;10;"1;2;3;4;5;6;7;8";9;v4704;1;v4805;1;2;v0401;4;domicilioid;v4706;"1;6";"2;3"
2014;uf;v4728;"4;5;6;7;8";v8005;v0404;"2;6";4;"8;0;9";v4803;;;;;;;v0302;2;4;v4718;;;;;;;;;v4719;;v1252;v1258;v1255;v1261;v1264;v1267;v1270;v1273;;;v4729;v9058;v9101;v9105;;v9906;v9907;999999999999;1,101170203;v4706;10;"1;2;3;4;5;6;7;8";9;v4704;1;v4805;1;2;v0401;4;domicilioid;v4706;"1;6";"2;3"
2015;uf;v4728;"4;5;6;7;8";v8005;v0404;"2;6";4;"8;0;9";v4803;;;;;;;v0302;2;4;v4718;;;;;;;;;v4719;;v1252;v1258;v1255;v1261;v1264;v1267;v1270;v1273;;;v4729;v9058;v9101;v9105;;v9906;v9907;999999999999;1;v4706;10;"1;2;3;4;5;6;7;8";9;v4704;1;v4805;1;2;v0401;4;domicilioid;v4706;"1;6";"2;3"
